pack_code,domain,grade_band,curriculum_unit_code,pack_role,recommended_sequence_order,unlock_stage,primary_skills,secondary_skills,estimated_session_count,activity_count,status,source_file,legacy_flags
g2_rainy_day_plans,reading,grade_2,early_reading_basics,core,1,unit_entry,"['sequencing', 'supporting_details', 'main_idea']","['instruction_following', 'cause_effect']",2,4,normalized_from_legacy_wave,starter_content_packs_wave_2.md,[]
g34_lost_backpack,reading,grades_3_4,middle_reading_interpretation,core,1,unit_entry,"['inference', 'supporting_details', 'summarization']","['decision_making', 'sequencing']",2,5,normalized_from_legacy_wave,starter_content_packs_wave_2.md,['uses_story_strip_sequencing']
g56_school_news_article,reading,grades_5_6,upper_advanced_reading,core,1,unit_entry,"['identifying_purpose', 'fact_vs_opinion', 'evaluating_evidence']","['compare_contrast', 'inference']",2,5,normalized_from_legacy_wave,starter_content_packs_wave_2.md,[]
g2_class_pet,reading,grade_2,early_reading_basics,core,2,unit_entry,"['supporting_details', 'main_idea', 'sequencing']","['classification', 'instruction_following']",2,4,normalized_from_legacy_wave,starter_content_packs_wave_3.md,[]
g34_river_trip,reading,grades_3_4,middle_reading_interpretation,core,2,unit_entry,"['compare_contrast', 'context_clues', 'summarization']","['supporting_details', 'cause_effect']",2,4,normalized_from_legacy_wave,starter_content_packs_wave_3.md,[]
g56_plastic_in_the_ocean,reading,grades_5_6,upper_advanced_reading,core,2,unit_entry,"['evaluating_evidence', 'summarization', 'identifying_purpose']","['fact_vs_opinion', 'inference']",2,5,normalized_from_legacy_wave,starter_content_packs_wave_3.md,[]
g2_day_and_night,reading,grade_2,early_reading_basics,core,3,unit_core,"['compare_contrast', 'sequencing', 'main_idea']","['classification', 'supporting_details']",2,4,normalized_from_legacy_wave,starter_content_packs_wave_4.md,[]
g34_inventors_notebook,reading,grades_3_4,middle_reading_interpretation,core,3,unit_core,"['main_idea', 'context_clues', 'problem_solving']","['supporting_details', 'compare_contrast']",2,4,normalized_from_legacy_wave,starter_content_packs_wave_4.md,[]
g56_ancient_city_discovery,reading,grades_5_6,upper_advanced_reading,core,3,unit_core,"['inference', 'evaluating_evidence', 'compare_contrast']","['identifying_purpose', 'fact_vs_opinion']",2,4,normalized_from_legacy_wave,starter_content_packs_wave_4.md,[]
g2_helping_a_friend,reading,grade_2,early_reading_basics,core,4,unit_core,"['main_idea', 'cause_effect', 'sequencing']","['supporting_details', 'decision_making']",2,4,normalized_from_legacy_wave,starter_content_packs_wave_5.md,[]
g34_growing_plants,reading,grades_3_4,middle_reading_interpretation,core,4,unit_core,"['sequencing', 'supporting_details', 'summarization']","['cause_effect', 'context_clues']",2,4,normalized_from_legacy_wave,starter_content_packs_wave_5.md,['uses_story_strip_sequencing']
g56_weather_warning_followup,reading,grades_5_6,upper_advanced_reading,core,4,unit_core,"['evaluating_evidence', 'decision_making', 'identifying_purpose']","['fact_vs_opinion', 'compare_contrast']",2,4,normalized_from_legacy_wave,starter_content_packs_wave_5.md,[]
g2_garden_helpers,reading,grade_2,early_reading_basics,core,5,unit_late,"['supporting_details', 'classification', 'sequencing']","['main_idea', 'cause_effect']",2,4,normalized_from_legacy_wave,starter_content_packs_wave_6.md,[]
g34_maps_and_neighborhoods,reading,grades_3_4,middle_reading_interpretation,core,5,unit_late,"['context_clues', 'compare_contrast', 'supporting_details']","['decision_making', 'sequencing']",2,4,normalized_from_legacy_wave,starter_content_packs_wave_6.md,[]
g56_school_energy_project,reading,grades_5_6,upper_advanced_reading,core,5,unit_late,"['evaluating_evidence', 'problem_solving', 'compare_contrast']","['identifying_purpose', 'inference']",2,4,normalized_from_legacy_wave,starter_content_packs_wave_6.md,[]
g2_market_morning,reading,grade_2,early_reading_basics,core,6,unit_late,"['supporting_details', 'sequencing', 'main_idea']","['classification', 'decision_making']",2,4,normalized_from_legacy_wave,starter_content_packs_wave_7.md,[]
g34_recycling_day,reading,grades_3_4,middle_reading_interpretation,core,6,unit_late,"['main_idea', 'supporting_details', 'cause_effect']","['context_clues', 'decision_making']",2,4,normalized_from_legacy_wave,starter_content_packs_wave_7.md,[]
g56_local_news_comparison,reading,grades_5_6,upper_advanced_reading,core,6,unit_late,"['compare_contrast', 'fact_vs_opinion', 'evaluating_evidence']","['identifying_purpose', 'inference']",2,4,normalized_from_legacy_wave,starter_content_packs_wave_7.md,[]
